[2025-01-23 21:19:42,040] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,046] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,050] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,056] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,060] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,066] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,070] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,075] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,079] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,084] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 612 with partition epoch 0, high watermark 612, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,084] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,088] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,094] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,098] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,103] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,107] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,113] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,117] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,121] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,126] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,131] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,136] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,141] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,146] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,152] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,156] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,161] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,165] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,170] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,174] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,178] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,183] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,188] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,192] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,207] INFO [Broker id=0] Finished LeaderAndIsr request in 252ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2025-01-23 21:19:42,210] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 6 with correlation id 2 (state.change.logger)
[2025-01-23 21:52:41,238] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
